personal_number,name,position,degree,salary,employee_number
1872638640,"emp0","engineer","bachelors",300000.00,0
1872638641,"emp1","scientist","masters",350000.00,1
1872638642,"emp2","manager","docterate",400000.00,2
1872638643,"emp3","recruiter","bachelors",450000.00,3
1872638644,"emp4","engineer","masters",300000.00,4
1872638645,"emp5","scientist","docterate",350000.00,5
1872638646,"emp6","manager","bachelors",400000.00,6
1872638647,"emp7","recruiter","masters",450000.00,7
1872638648,"emp8","engineer","docterate",300000.00,8
1872638649,"emp9","scientist","bachelors",350000.00,9
1872638650,"emp10","manager","masters",400000.00,10
1872638651,"emp10","manager","masters",400000.00,10
1872638652,"emp11","recruiter","docterate",450000.00,11
1872638652,"emp11","recruiter","docterate",450000.00,11
1872638653,"emp12","engineer","bachelors",300000.00,12
1872638653,"emp12","engineer","bachelors",300000.00,12
1872638654,"emp13","scientist","masters",350000.00,13
1872638654,"emp13","scientist","masters",350000.00,13
1872638655,"emp14","manager","docterate",400000.00,14
1872638655,"emp14","manager","docterate",400000.00,14
1872638656,"emp15","recruiter","bachelors",450000.00,15
